,Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,File
57,107,Iraq,Middle East and North Africa,"4,9409","5,83318","0,51697",73.0,"0,44382","0,31357","0,07829",data/raw/world_happiness_2022.csv
58,13,Ireland,Western Europe,"7,0408","9,63627","0,88309",80.0,"0,84692","0,40537","0,69472",data/raw/world_happiness_2022.csv
59,9,Israel,Middle East and North Africa,"7,3638","8,26439","0,92506",81.0,"0,76704","0,3309","0,24303",data/raw/world_happiness_2022.csv
60,31,Italy,Western Europe,"6,4667","8,30189","0,79682",80.0,"0,5574","0,18239","0,10098",data/raw/world_happiness_2022.csv
61,88,Ivory Coast,Sub-Saharan Africa,"5,2346","4,95177","0,33518",66.0,"0,60954","0,31823","0,2108",data/raw/world_happiness_2022.csv
62,63,Jamaica,Latin America and Caribbean,"5,8496","5,86501","0,79157",76.0,"0,76602","0,17028","0,08977",data/raw/world_happiness_2022.csv
63,54,Japan,East Asia,"6,0389","8,3032","0,82532",82.0,"0,72502","0,01532","0,37182",data/raw/world_happiness_2022.csv
64,134,Jordan,Middle East and North Africa,"4,1521","5,99044","0,54861",77.0,"0,64298","0,12369","0,34136",data/raw/world_happiness_2022.csv
65,40,Kazakhstan,Commonwealth of Independent States,"6,2341","7,54949","0,92443",75.0,"0,78852","0,28593","0,26778",data/raw/world_happiness_2022.csv
66,119,Kenya,Sub-Saharan Africa,"4,543","4,66892","0,45842",68.0,"0,59452","0,68762","0,13999",data/raw/world_happiness_2022.csv
67,32,Kosovo,Central and Eastern Europe,"6,4551","6,16511","0,71924",73.0,"0,80922","0,66076","0,05966",data/raw/world_happiness_2022.csv
68,50,Kuwait,Middle East and North Africa,"6,1061","8,61713","0,74496",79.0,"0,83419","0,18583","0,24989",data/raw/world_happiness_2022.csv
69,64,Kyrgyzstan,Commonwealth of Independent States,"5,8285","4,83649","0,84056",75.0,"0,93652","0,44485","0,04223",data/raw/world_happiness_2022.csv
70,95,Laos,East Asia,"5,1403","5,60693","0,49568",71.0,"0,9176","0,42001","0,31355",data/raw/world_happiness_2022.csv
71,42,Latvia,Western Europe,"6,1804","7,83741","0,92495",75.0,"0,67845","0,16089","0,1542",data/raw/world_happiness_2022.csv
72,145,Lebanon,Middle East and North Africa,"2,9553","6,30068","0,3773",75.0,"0,13891","0,17565","0,05753",data/raw/world_happiness_2022.csv
73,141,Lesotho,Sub-Saharan Africa,"3,5118","3,79591","0,64243",56.0,"0,56585","0,16256","0,03136",data/raw/world_happiness_2022.csv
74,97,Liberia,Sub-Saharan Africa,"5,1215","2,87687","0,50761",65.0,"0,54778","0,38012","0,13557",data/raw/world_happiness_2022.csv
75,86,Libya,Middle East and North Africa,"5,3302","6,67955","0,71413",74.0,"0,64394","0,22644","0,30577",data/raw/world_happiness_2022.csv
76,34,Lithuania,Western Europe,"6,4456","8,16481","0,91192",76.0,"0,66978","0,11378","0,13111",data/raw/world_happiness_2022.csv
77,6,Luxembourg,Western Europe,"7,404",10,"0,8747",80.0,"0,94553","0,25688","0,66139",data/raw/world_happiness_2022.csv
78,128,Madagascar,Sub-Saharan Africa,"4,3391","3,03401","0,48834",68.0,"0,27303","0,30553","0,26161",data/raw/world_happiness_2022.csv
79,138,Malawi,Sub-Saharan Africa,"3,7504","2,93212","0,2116",68.0,"0,64448","0,29961","0,26761",data/raw/world_happiness_2022.csv
80,70,Malaysia,Southeast Asia,"5,7113","7,64581","0,71039",75.0,"0,88411","0,45554","0,21412",data/raw/world_happiness_2022.csv
81,123,Mali,Sub-Saharan Africa,"4,479","3,58285","0,36603",65.0,"0,47266","0,27444","0,07204",data/raw/world_happiness_2022.csv
82,33,Malta,Western Europe,"6,4469","8,32028","0,88561",80.0,"0,91775","0,37249","0,28261",data/raw/world_happiness_2022.csv
83,133,Mauritania,Middle East and North Africa,"4,1526","4,97958","0,65526",70.0,"0,4107","0,18884","0,23596",data/raw/world_happiness_2022.csv
84,52,Mauritius,Sub-Saharan Africa,"6,0711","7,20156","0,84581",73.0,"0,79651","0,27965","0,18227",data/raw/world_happiness_2022.csv
85,46,Mexico,Latin America and Caribbean,"6,1276","7,0224","0,67101",75.0,"0,83965","0,19635","0,19636",data/raw/world_happiness_2022.csv
86,62,Moldova,Central and Eastern Europe,"5,8568","6,41518","0,76404",74.0,"0,75835","0,21864","0,04855",data/raw/world_happiness_2022.csv
87,68,Mongolia,East Asia,"5,7607","6,30479","0,90722",70.0,"0,53758","0,52816","0,10095",data/raw/world_happiness_2022.csv
88,75,Montenegro,Central and Eastern Europe,"5,5468","7,1212","0,77533",76.0,"0,6219","0,28808","0,13123",data/raw/world_happiness_2022.csv
89,100,Morocco,Middle East and North Africa,"5,0599","5,46755","0,20288",73.0,"0,66525","0,0431","0,17332",data/raw/world_happiness_2022.csv
90,101,Mozambique,Sub-Saharan Africa,"5,0483","2,6174","0,49979",62.0,"0,8013","0,39563","0,34028",data/raw/world_happiness_2022.csv
91,126,Myanmar,Southeast Asia,"4,3942","4,70037","0,62808",71.0,"0,69315","0,9663","0,33024",data/raw/world_happiness_2022.csv
92,124,Namibia,Sub-Saharan Africa,"4,4594","5,84951","0,66457",67.0,"0,51878","0,14257","0,12072",data/raw/world_happiness_2022.csv
93,84,Nepal,South Asia,"5,3765","4,45594","0,5938",71.0,"0,70065","0,50597","0,2212",data/raw/world_happiness_2022.csv
94,5,Netherlands,Western Europe,"7,4149","8,8014","0,91358",80.0,"0,87925","0,57932","0,71415",data/raw/world_happiness_2022.csv
95,10,New Zealand,North America and ANZ,"7,1998","8,38257","0,93539",79.0,"0,91854","0,52286","0,82307",data/raw/world_happiness_2022.csv
96,45,Nicaragua,Latin America and Caribbean,"6,1646","5,00014","0,77965",75.0,"0,8334","0,35862","0,36102",data/raw/world_happiness_2022.csv
97,104,Niger,Sub-Saharan Africa,"5,0035","2,57932","0,42432",66.0,"0,77202","0,35183","0,24677",data/raw/world_happiness_2022.csv
98,118,Nigeria,Sub-Saharan Africa,"4,552","4,88582","0,5547",65.0,"0,60046","0,37306","0,06395",data/raw/world_happiness_2022.csv
99,89,North Macedonia,Central and Eastern Europe,"5,199","6,81012","0,65355",75.0,"0,65875","0,45974","0,05283",data/raw/world_happiness_2022.csv
100,8,Norway,Western Europe,"7,3651","9,03954","0,93873",80.0,"0,98326","0,46298","0,80773",data/raw/world_happiness_2022.csv
101,121,Pakistan,South Asia,"4,5158","4,74669","0,31258",67.0,"0,60506","0,38691","0,19033",data/raw/world_happiness_2022.csv
102,122,Palestinian Territories,Middle East and North Africa,"4,4825","5,19565","0,72522",72.0,"0,45454","0,15634","0,13538",data/raw/world_happiness_2022.csv
103,37,Panama,Latin America and Caribbean,"6,3091","7,76178","0,83838",78.0,"0,80043","0,10441","0,0874",data/raw/world_happiness_2022.csv
104,73,Paraguay,Latin America and Caribbean,"5,5783","6,37543","0,85633",75.0,"0,84979","0,36596","0,10116",data/raw/world_happiness_2022.csv
105,74,Peru,Latin America and Caribbean,"5,5591","6,32524","0,65505",78.0,"0,7368","0,19147","0,06305",data/raw/world_happiness_2022.csv
106,60,Philippines,Southeast Asia,"5,9036","5,73773","0,69088",72.0,"0,91683","0,22929","0,24142",data/raw/world_happiness_2022.csv
107,48,Poland,Central and Eastern Europe,"6,1228","7,95468","0,88914",78.0,"0,70671","0,26538","0,23877",data/raw/world_happiness_2022.csv
108,56,Portugal,Western Europe,"6,0163","7,96549","0,81707",80.0,"0,88467","0,0349","0,06674",data/raw/world_happiness_2022.csv
109,28,Romania,Central and Eastern Europe,"6,477","7,77992","0,76229",76.0,"0,81787","0,08393","0,01047",data/raw/world_happiness_2022.csv
110,80,Russia,Commonwealth of Independent States,"5,4586","7,62519","0,82975",74.0,"0,54241","0,25053","0,13602",data/raw/world_happiness_2022.csv
111,143,Rwanda,Sub-Saharan Africa,"3,2682","3,55415","0,10054",70.0,"0,83979","0,39891","0,92742",data/raw/world_happiness_2022.csv
112,25,Saudi Arabia,Middle East and North Africa,"6,5228","8,46181","0,82739",74.0,"0,8794","0,16759","0,30737",data/raw/world_happiness_2022.csv
113,103,Senegal,Sub-Saharan Africa,"5,0461","4,2216","0,40137",70.0,"0,66712","0,30647","0,13746",data/raw/world_happiness_2022.csv
114,43,Serbia,Central and Eastern Europe,"6,178","7,01436","0,82245",76.0,"0,73761","0,46725","0,15064",data/raw/world_happiness_2022.csv
115,140,Sierra Leone,Sub-Saharan Africa,"3,574","3,10358","0,31521",64.0,"0,52298","0,43229","0,09287",data/raw/world_happiness_2022.csv
116,27,Singapore,Southeast Asia,"6,4802","9,7249","0,85415",82.0,"0,90749","0,3477",1,data/raw/world_happiness_2022.csv
117,35,Slovakia,Central and Eastern Europe,"6,3907","7,85947","0,93319",78.0,"0,64679","0,2518","0,04181",data/raw/world_happiness_2022.csv
118,22,Slovenia,Central and Eastern Europe,"6,6301","8,19057","0,94632",79.0,"0,92499","0,25178","0,19555",data/raw/world_happiness_2022.csv
119,91,South Africa,Sub-Saharan Africa,"5,1939","6,4495","0,82447",67.0,"0,59743","0,18991","0,07846",data/raw/world_happiness_2022.csv
120,59,South Korea,East Asia,"5,9351","8,37826","0,67108",82.0,"0,55924","0,23723","0,30003",data/raw/world_happiness_2022.csv
121,29,Spain,Western Europe,"6,4763","8,18361","0,9175",81.0,"0,68232","0,21683","0,25393",data/raw/world_happiness_2022.csv
122,127,Sri Lanka,South Asia,"4,3622","6,40665","0,70733",76.0,"0,71472","0,31997","0,13388",data/raw/world_happiness_2022.csv
123,7,Sweden,Western Europe,"7,3843","8,69133","0,91221",80.0,"0,97793","0,46574","0,87289",data/raw/world_happiness_2022.csv
124,4,Switzerland,Western Europe,"7,5116","9,16979","0,9289",81.0,"0,91475","0,31377","0,78559",data/raw/world_happiness_2022.csv
125,26,Taiwan Province of China,East Asia,"6,5125","8,58555","0,82975",78.0,"0,73273","0,16035","0,28669",data/raw/world_happiness_2022.csv
126,83,Tajikistan,Commonwealth of Independent States,"5,3771","4,37416","0,76155",72.0,"0,77231","0,25127","0,51789",data/raw/world_happiness_2022.csv
127,139,Tanzania,Sub-Saharan Africa,"3,7024","3,84022","0,45232",69.0,"0,78075","0,53076","0,46087",data/raw/world_happiness_2022.csv
128,61,Thailand,Southeast Asia,"5,8912","6,94772","0,83005",77.0,"0,83327","0,686","0,04437",data/raw/world_happiness_2022.csv
129,135,Togo,Sub-Saharan Africa,"4,1123","3,49012","0,24358",67.0,"0,39427","0,37273","0,22565",data/raw/world_happiness_2022.csv
130,120,Tunisia,Middle East and North Africa,"4,516","6,10961","0,45179",76.0,"0,42687","0,06175","0,04965",data/raw/world_happiness_2022.csv
131,112,Turkey,Middle East and North Africa,"4,7442","7,72532","0,65551",77.0,"0,2825","0,18641","0,1959",data/raw/world_happiness_2022.csv
132,78,Turkmenistan,Commonwealth of Independent States,"5,4743","6,71819","0,99927",72.0,"0,87696","0,67169","0,05386",data/raw/world_happiness_2022.csv
133,117,Uganda,Sub-Saharan Africa,"4,6026","3,51766","0,66312",69.0,"0,54361","0,47437","0,11295",data/raw/world_happiness_2022.csv
134,98,Ukraine,Commonwealth of Independent States,"5,0841","6,3877","0,81866",74.0,"0,63917","0,40253","0,02865",data/raw/world_happiness_2022.csv
135,24,United Arab Emirates,Middle East and North Africa,"6,576","9,04366","0,74215",75.0,"0,94864","0,43534","0,42677",data/raw/world_happiness_2022.csv
136,17,United Kingdom,Western Europe,"6,9425","8,45109","0,86604",79.0,"0,8061","0,61778","0,56096",data/raw/world_happiness_2022.csv
137,16,United States,North America and ANZ,"6,9768","8,97234","0,89524",75.0,"0,776","0,47025","0,30113",data/raw/world_happiness_2022.csv
138,30,Uruguay,Latin America and Caribbean,"6,4736","7,30759","0,89371",76.0,"0,89858","0,2193","0,452",data/raw/world_happiness_2022.csv
139,53,Uzbekistan,Commonwealth of Independent States,"6,0627","5,51801","0,82699",74.0,"0,96707","0,60507","0,4097",data/raw/world_happiness_2022.csv
140,108,Venezuela,Latin America and Caribbean,"4,9255",0,"0,7333",74.0,"0,38197","0,48141","0,13911",data/raw/world_happiness_2022.csv
141,77,Vietnam,Southeast Asia,"5,485","5,66806","0,70576",75.0,"0,95532","0,30553","0,1795",data/raw/world_happiness_2022.csv
142,132,Yemen,Middle East and North Africa,"4,1969","3,12954","0,78989",68.0,"0,44537","0,19317","0,1668",data/raw/world_happiness_2022.csv
143,137,Zambia,Sub-Saharan Africa,"3,7598","4,21012","0,43733",65.0,"0,70982","0,43336","0,14128",data/raw/world_happiness_2022.csv
144,144,Zimbabwe,Sub-Saharan Africa,"2,9951","4,28445","0,52311",64.0,"0,44485","0,2271","0,17883",data/raw/world_happiness_2022.csv
0,1,Finland,Western Europe,"7,8042","8,58486","0,97853",71.0,1,"0,29969","0,04551",data/raw/world_happiness_2023.csv
1,2,Denmark,Western Europe,"7,5864","8,86229","0,95567",71.0,"0,95192","0,49451","0,06348",data/raw/world_happiness_2023.csv
2,3,Iceland,Western Europe,"7,5296","8,75364",1,72.0,"0,95678","0,59219","0,66635",data/raw/world_happiness_2023.csv
3,4,Israel,Middle East and North Africa,"7,4729","8,3349","0,93888",73.0,"0,73689","0,29427","0,71775",data/raw/world_happiness_2023.csv
4,5,Netherlands,Western Europe,"7,403","8,82986","0,91885",72.0,"0,87144","0,59435","0,29735",data/raw/world_happiness_2023.csv
5,6,Sweden,Western Europe,"7,3952","8,73292","0,93249",72.0,"0,97682","0,53339","0,07195",data/raw/world_happiness_2023.csv
6,7,Norway,Western Europe,"7,3155","9,06702","0,93909",72.0,"0,97449","0,50265","0,1745",data/raw/world_happiness_2023.csv
7,8,Switzerland,Western Europe,"7,2401","9,19142","0,90316",73.0,"0,87869","0,35761","0,15356",data/raw/world_happiness_2023.csv
8,9,Luxembourg,Western Europe,"7,2279",10,"0,83775",72.0,"0,91985","0,35413","0,25399",data/raw/world_happiness_2023.csv
9,10,New Zealand,North America and ANZ,"7,1229","8,37266","0,953",70.0,"0,87092","0,54617","0,15977",data/raw/world_happiness_2023.csv
10,11,Austria,Western Europe,"7,0973","8,75915","0,85325",71.0,"0,81601","0,45297","0,44786",data/raw/world_happiness_2023.csv
11,12,Australia,North America and ANZ,"7,0946","8,6322","0,92411",71.0,"0,87718","0,5751","0,44676",data/raw/world_happiness_2023.csv
12,13,Canada,North America and ANZ,"6,9607","8,5533","0,91619",71.0,"0,85004","0,51781","0,35007",data/raw/world_happiness_2023.csv
13,14,Ireland,Western Europe,"6,9108","9,78382","0,87965",71.0,"0,84989","0,44031","0,27056",data/raw/world_happiness_2023.csv
14,15,United States,North America and ANZ,"6,8937","9,00265","0,90117",66.0,"0,72244","0,49739","0,69285",data/raw/world_happiness_2023.csv
15,16,Germany,Western Europe,"6,8918","8,72605","0,86497",71.0,"0,80068","0,36188","0,34925",data/raw/world_happiness_2023.csv
16,17,Belgium,Western Europe,"6,8591","8,66895","0,89447",71.0,"0,76511","0,32545","0,51401",data/raw/world_happiness_2023.csv
17,18,Czechia,Central and Eastern Europe,"6,8452","8,28976","0,95328",69.0,"0,89842","0,37426","0,91042",data/raw/world_happiness_2023.csv
18,19,United Kingdom,Western Europe,"6,7956","8,44176","0,84353",70.0,"0,81162","0,64606","0,39333",data/raw/world_happiness_2023.csv
19,20,Lithuania,Western Europe,"6,763","8,21935","0,93265",67.0,"0,63165","0,13882","0,84163",data/raw/world_happiness_2023.csv
20,21,France,Western Europe,"6,6613","8,43604","0,88501",72.0,"0,75391","0,196","0,51918",data/raw/world_happiness_2023.csv
21,22,Slovenia,Central and Eastern Europe,"6,6499","8,2527","0,95008",71.0,"0,91699","0,34197","0,79841",data/raw/world_happiness_2023.csv
22,23,Costa Rica,Latin America and Caribbean,"6,6085","7,21454","0,82705",70.0,"0,88549","0,2348","0,79402",data/raw/world_happiness_2023.csv
23,24,Romania,Central and Eastern Europe,"6,5891","7,84633","0,79012",67.0,"0,81787","0,10504",1,data/raw/world_happiness_2023.csv
24,25,Singapore,Southeast Asia,"6,5867","9,85578","0,83625",74.0,"0,85557","0,4035",0,data/raw/world_happiness_2023.csv
25,26,United Arab Emirates,Middle East and North Africa,"6,5712","9,16068","0,75511",66.0,"0,96615","0,44544","0,559",data/raw/world_happiness_2023.csv
26,27,Taiwan Province of China,East Asia,"6,5354","8,59374","0,84699",70.0,"0,72836","0,15951","0,68312",data/raw/world_happiness_2023.csv
27,28,Uruguay,Latin America and Caribbean,"6,4939","7,35304","0,89188",68.0,"0,8858","0,2414","0,54723",data/raw/world_happiness_2023.csv
28,29,Slovakia,Central and Eastern Europe,"6,4686","7,86977","0,95326",69.0,"0,64092","0,30272","0,96008",data/raw/world_happiness_2023.csv
29,30,Saudi Arabia,Middle East and North Africa,"6,4626","8,46003","0,84612",64.0,"0,88341","0,22099","0,69631",data/raw/world_happiness_2023.csv
30,31,Estonia,Western Europe,"6,4552","8,17615","0,94244",70.0,"0,94374","0,36408","0,33635",data/raw/world_happiness_2023.csv
31,32,Spain,Western Europe,"6,4362","8,17445","0,92078",72.0,"0,69075","0,23973","0,72085",data/raw/world_happiness_2023.csv
32,33,Italy,Western Europe,"6,4045","8,32731","0,84254",72.0,"0,56725","0,23004","0,88846",data/raw/world_happiness_2023.csv
33,34,Kosovo,Central and Eastern Europe,"6,3676","6,24855","0,78362",65.0,"0,82763","0,65294","0,91958",data/raw/world_happiness_2023.csv
34,35,Chile,Latin America and Caribbean,"6,3338","7,47934","0,85433",70.0,"0,70825","0,30961","0,86419",data/raw/world_happiness_2023.csv
35,36,Mexico,Latin America and Caribbean,"6,3295","7,04829","0,72157",66.0,"0,81857","0,20456","0,79471",data/raw/world_happiness_2023.csv
36,37,Malta,Western Europe,"6,2999","8,37103","0,90665",72.0,"0,86931","0,47551","0,74428",data/raw/world_happiness_2023.csv
37,38,Panama,Latin America and Caribbean,"6,2645","7,7909","0,86551",69.0,"0,81663","0,15386","0,93513",data/raw/world_happiness_2023.csv
38,39,Poland,Central and Eastern Europe,"6,2597","8,03202","0,91036",69.0,"0,66208","0,28425","0,75284",data/raw/world_happiness_2023.csv
39,40,Nicaragua,Latin America and Caribbean,"6,2588","5,0397","0,79769",66.0,"0,85515","0,35029","0,61164",data/raw/world_happiness_2023.csv
40,41,Latvia,Western Europe,"6,2127","7,89731","0,92919",66.0,"0,75197","0,2529","0,87377",data/raw/world_happiness_2023.csv
41,42,Bahrain,Middle East and North Africa,"6,1732","8,5584","0,7837",66.0,"0,96993","0,4726","0,75428",data/raw/world_happiness_2023.csv
42,43,Guatemala,Latin America and Caribbean,"6,1503","5,85171","0,73362",63.0,"0,81813","0,25076","0,88184",data/raw/world_happiness_2023.csv
43,44,Kazakhstan,Commonwealth of Independent States,"6,1439","7,56428","0,92033",66.0,"0,81342","0,32303","0,73482",data/raw/world_happiness_2023.csv
44,45,Serbia,Central and Eastern Europe,"6,1436","7,05543","0,82925",67.0,"0,79928","0,58329","0,85611",data/raw/world_happiness_2023.csv
45,46,Cyprus,Sub-Saharan Africa,"6,13","8,29006","0,756",73.0,"0,59029","0,24724","0,91149",data/raw/world_happiness_2023.csv
46,47,Japan,East Asia,"6,129","8,29732","0,86211",74.0,"0,72073","0,02207","0,63067",data/raw/world_happiness_2023.csv
47,48,Croatia,Central and Eastern Europe,"6,125","7,84908","0,89808",69.0,"0,64764","0,20572","0,99514",data/raw/world_happiness_2023.csv
48,49,Brazil,Latin America and Caribbean,"6,1246","6,61229","0,7719",66.0,"0,72389","0,31172","0,75554",data/raw/world_happiness_2023.csv
49,50,El Salvador,Latin America and Caribbean,"6,1216","5,80835","0,64474",66.0,"0,92432","0,1863","0,60474",data/raw/world_happiness_2023.csv
50,51,Hungary,Central and Eastern Europe,"6,0412","7,97616","0,93778",68.0,"0,64884","0,24833","0,88476",data/raw/world_happiness_2023.csv
51,52,Argentina,Latin America and Caribbean,"6,0237","7,22632","0,85707",67.0,"0,76071","0,20975","0,85303",data/raw/world_happiness_2023.csv
52,53,Honduras,Latin America and Caribbean,"6,0225","5,06831","0,66162",64.0,"0,79509","0,44756","0,88992",data/raw/world_happiness_2023.csv
53,54,Uzbekistan,Commonwealth of Independent States,"6,0143","5,57893","0,83191",65.0,"0,95948","0,6158","0,62845",data/raw/world_happiness_2023.csv
54,55,Malaysia,Southeast Asia,"6,0123","7,5692","0,71315",66.0,"0,85394","0,52677","0,78209",data/raw/world_happiness_2023.csv
55,56,Portugal,Western Europe,"5,968","7,99242","0,83693",71.0,"0,89828","0,07408","0,93485",data/raw/world_happiness_2023.csv
56,57,South Korea,East Asia,"5,9511","8,42289","0,73343",74.0,"0,57814","0,26482","0,70892",data/raw/world_happiness_2023.csv
57,58,Greece,Middle East and North Africa,"5,9309","7,76334","0,76983",71.0,"0,3213","0,01872","0,82647",data/raw/world_happiness_2023.csv
58,59,Mauritius,Sub-Saharan Africa,"5,9023","7,22373","0,85309",64.0,"0,74392","0,28772","0,80308",data/raw/world_happiness_2023.csv
59,60,Thailand,Southeast Asia,"5,843","6,8883","0,82996",68.0,"0,80842","0,69105","0,97612",data/raw/world_happiness_2023.csv
60,61,Mongolia,East Asia,"5,8402","6,27027","0,92248",60.0,"0,55112","0,56607","0,89736",data/raw/world_happiness_2023.csv
61,62,Kyrgyzstan,Commonwealth of Independent States,"5,8253","4,82472","0,88867",67.0,"0,95323","0,55447","0,96769",data/raw/world_happiness_2023.csv
62,63,Moldova,Central and Eastern Europe,"5,8192","6,47629","0,80365",65.0,"0,7901","0,22171","0,96394",data/raw/world_happiness_2023.csv
63,64,China,East Asia,"5,8179","6,86644","0,771",69.0,"0,86285","0,27174","0,74219",data/raw/world_happiness_2023.csv
64,65,Vietnam,Southeast Asia,"5,7633","6,13089","0,7483",66.0,"0,96073","0,31901","0,78257",data/raw/world_happiness_2023.csv
65,66,Paraguay,Latin America and Caribbean,"5,7378","6,49413","0,88074",66.0,"0,87829","0,35005","0,88953",data/raw/world_happiness_2023.csv
66,67,Montenegro,Central and Eastern Europe,"5,7222","6,98795","0,85507",67.0,"0,73022","0,40445","0,89189",data/raw/world_happiness_2023.csv
67,68,Jamaica,Latin America and Caribbean,"5,7027","5,93143","0,82031",67.0,"0,7602","0,1884","0,931",data/raw/world_happiness_2023.csv
68,69,Bolivia,Latin America and Caribbean,"5,6843","5,63795","0,73301",64.0,"0,83951","0,24382","0,89362",data/raw/world_happiness_2023.csv
69,70,Russia,Commonwealth of Independent States,"5,6607","7,6355","0,8536",65.0,"0,58253","0,28501","0,83694",data/raw/world_happiness_2023.csv
70,71,Bosnia and Herzegovina,Central and Eastern Europe,"5,6325","6,66703","0,84056",67.0,"0,6287","0,58636","0,98525",data/raw/world_happiness_2023.csv
71,72,Colombia,Latin America and Caribbean,"5,6304","6,61594","0,74912",69.0,"0,72895","0,19087","0,87797",data/raw/world_happiness_2023.csv
72,73,Dominican Republic,Latin America and Caribbean,"5,5689","6,98469","0,75753",64.0,"0,80788","0,1979","0,65223",data/raw/world_happiness_2023.csv
73,74,Ecuador,Latin America and Caribbean,"5,5589","6,10362","0,7243",69.0,"0,72544","0,1866","0,87672",data/raw/world_happiness_2023.csv
74,75,Peru,Latin America and Caribbean,"5,5259","6,31771","0,71215",70.0,"0,71189","0,17237","0,95226",data/raw/world_happiness_2023.csv
75,76,Philippines,Southeast Asia,"5,5229","5,62837","0,68402",62.0,"0,92607","0,24742","0,7484",data/raw/world_happiness_2023.csv
76,77,Bulgaria,Central and Eastern Europe,"5,4661","7,43485","0,89974",66.0,"0,72252","0,25132","0,97687",data/raw/world_happiness_2023.csv
77,78,Nepal,South Asia,"5,3603","4,45","0,634",62.0,"0,73531","0,50939","0,8139",data/raw/world_happiness_2023.csv
78,79,Armenia,Commonwealth of Independent States,"5,3417","6,66532","0,70009",68.0,"0,71402","0,12596","0,71435",data/raw/world_happiness_2023.csv
79,80,Tajikistan,Commonwealth of Independent States,"5,3298","4,41825","0,7708",62.0,"0,7768","0,24758","0,47954",data/raw/world_happiness_2023.csv
80,81,Argelia,Sub-Saharan Africa,"5,3291","6,15254","0,80144",67.0,"0,32703","0,17425","0,729",data/raw/world_happiness_2023.csv
81,82,Hong Kong S.A.R. of China,East Asia,"5,3085","8,86926","0,74172",77.0,"0,52727","0,29069","0,3046",data/raw/world_happiness_2023.csv
82,83,Albania,Central and Eastern Europe,"5,2773","6,58829","0,58729",69.0,"0,71181","0,31482","0,93487",data/raw/world_happiness_2023.csv
83,84,Indonesia,Southeast Asia,"5,2769","6,29103","0,72154",63.0,"0,85978",1,"0,93218",data/raw/world_happiness_2023.csv
84,85,South Africa,Sub-Saharan Africa,"5,2746","6,44165","0,88162",57.0,"0,60099","0,21338","0,96558",data/raw/world_happiness_2023.csv
85,86,Congo (Brazzaville),Sub-Saharan Africa,"5,2671","4,18781","0,41059",57.0,"0,60093","0,31812","0,75746",data/raw/world_happiness_2023.csv
86,87,North Macedonia,Central and Eastern Europe,"5,2536","6,80954","0,72273",67.0,"0,66807","0,49069","0,96504",data/raw/world_happiness_2023.csv
87,88,Venezuela,Latin America and Caribbean,"5,2106",0,"0,77587",64.0,"0,47789","0,48704","0,84973",data/raw/world_happiness_2023.csv
88,89,Laos,East Asia,"5,1107","5,60176","0,52653",61.0,"0,9266","0,43946","0,71063",data/raw/world_happiness_2023.csv
89,90,Georgia,Commonwealth of Independent States,"5,1091","6,71676","0,58458",65.0,"0,69826",0,"0,64214",data/raw/world_happiness_2023.csv
90,91,Guinea,Sub-Saharan Africa,"5,0717","3,83773","0,47925",54.0,"0,47791","0,483","0,81849",data/raw/world_happiness_2023.csv
91,92,Ukraine,Commonwealth of Independent States,"5,0714","6,17455","0,83623",65.0,"0,71371","0,62952","0,97145",data/raw/world_happiness_2023.csv
92,93,Ivory Coast,Sub-Saharan Africa,"5,0527","4,97236","0,36028",56.0,"0,60544","0,32724","0,76597",data/raw/world_happiness_2023.csv
93,94,Gabon,Sub-Saharan Africa,"5,0347","6,5394","0,63034",58.0,"0,44869","0,08561","0,81765",data/raw/world_happiness_2023.csv
94,95,Nigeria,Sub-Saharan Africa,"4,9806","4,84103","0,62145",55.0,"0,58086","0,41637","0,97711",data/raw/world_happiness_2023.csv
95,96,Cameroon,Sub-Saharan Africa,"4,9732","4,38599","0,53789",56.0,"0,52545","0,34244","0,89435",data/raw/world_happiness_2023.csv
96,97,Mozambique,Sub-Saharan Africa,"4,954","2,59175","0,5466",52.0,"0,81038","0,38307","0,65691",data/raw/world_happiness_2023.csv
97,98,Iraq,Middle East and North Africa,"4,9409","5,82354","0,58814",63.0,"0,45558","0,31677","0,93253",data/raw/world_happiness_2023.csv
98,99,State of Palestine,Middle East and North Africa,"4,9078","5,20061","0,80811",,"0,53963","0,15516","0,88085",data/raw/world_happiness_2023.csv
99,100,Morocco,Middle East and North Africa,"4,9028","5,61914","0,33027",64.0,"0,69966","0,0299","0,84896",data/raw/world_happiness_2023.csv
100,101,Iran,Middle East and North Africa,"4,8763","6,65816","0,68031",67.0,"0,3638","0,54376","0,76748",data/raw/world_happiness_2023.csv
101,102,Senegal,Sub-Saharan Africa,"4,8551","4,28578","0,44908",60.0,"0,67263","0,33736","0,89374",data/raw/world_happiness_2023.csv
102,103,Mauritania,Middle East and North Africa,"4,7239","4,99605","0,47186",60.0,"0,41495","0,30735","0,65291",data/raw/world_happiness_2023.csv
103,104,Burkina Faso,Sub-Saharan Africa,"4,6376","3,48918","0,5024",55.0,"0,54301","0,44503","0,79856",data/raw/world_happiness_2023.csv
104,105,Namibia,Sub-Saharan Africa,"4,6308","5,85991","0,69493",57.0,"0,49648","0,16381","0,87393",data/raw/world_happiness_2023.csv
